Questin,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Unique ID,Answer,Category / categories,Product,Forum,Likes
Do we need a mirror?,do-we-need-a-mirror,63fdd72506354fc9c34bbb9b,644a2b2e20ff425fa78fd8ae,Thu Apr 27 2023 07:58:38 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:41:11 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">To see the screen while laying inside the bore, a mirror is necessary. <br>If the MR vendor does not provide a mirror, NordicNeuroLab can provide a mirror option. </p><p id="""">‍</p>",nordiccomfortsolution,nordicComfortSolution,false,
Do you have other paradigms which are not in the library?,do-you-have-other-paradigms-which-are-not-in-the-library,63fdd72506354fc9c34bbb9b,6479ed25a12067941dfdf8ec,Fri Jun 02 2023 13:22:45 GMT+0000 (Coordinated Universal Time),Tue Jun 27 2023 12:49:24 GMT+0000 (Coordinated Universal Time),Tue Jun 27 2023 12:49:29 GMT+0000 (Coordinated Universal Time),,"<p id="""">We do have additional paradigms available to test, and we welcome feedback on these. <br>Please navigate to the<strong id=""""><em id=""""> </em></strong><a href=""https://nordicneurolab.circle.so/c/paradigms-nordicaktiva/"" id=""""><strong id=""""><em id="""">‘Paradigm Exchange</em></strong></a><strong id=""""><em id="""">’ </em></strong>page on NNL Forum to access these paradigms. <br><br>If you have any further needs or suggestions, please get in touch via <a href=""mailto:applicationsupport@nordicneurolab.com"">applicationsupport@nordicneurolab.com.</a></p>",nordicaktiva,,true,
Do you have other response devices? ,do-you-have-other-response-devices,63fdd72506354fc9c34bbb9b,64942e2a04997c08f369a743,Thu Jun 22 2023 11:19:06 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:19:06 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:19:10 GMT+0000 (Coordinated Universal Time),,"<p>No, at the moment the only available response devices we have are the ergonomic ResponseGrips. If you are interested in any other response button devices, please feel free to let us know at <a href=""mailto:applicationsupport@nordicneurolab.com"" target=""_blank"" id="""">applicationsupport@nordicneurolab.com</a>, as we welcome suggestions for future developments.</p>",responsegrips,,true,
Does nordicAktiva support devices from other vendors?,does-nordicaktiva-support-devices-from-other-vendors,63fdd72506354fc9c34bbb9b,6479ea637f0667b3113f47de,Fri Jun 02 2023 13:10:59 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:40:33 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>No, every input to nordicAktiva has to come from the NNL SyncBox serial port.</p><p>‍</p>",nordicaktiva,,true,
How can eye tracking be done with the VisualSystem HD goggles?,how-can-eye-tracking-be-done-with-the-visualsystem-hd-goggles,63fdd72506354fc9c34bbb9b,6490420b60e45d019b9197b7,Mon Jun 19 2023 11:54:51 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:36:34 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">The VisualSystem HD goggles feature eye-tracking cameras only, and different users may deploy their own choice of eye-tracking analysis software. However, we do partner with Arrington Research Inc, who offer the ViewPoint eye-tracking solution, which we sell l for use with the VisualSystem HD. We have created a<strong><em> </em></strong><a href=""https://www.nordicneurolab.com/resources#user-guides"" id=""""><strong><em>user guide</em></strong></a> on our website, where you can find all the necessary steps for integrating ViewPoint with the VisualSystem HD goggles.</p>",visualsystemhd,,true,
How can I add local radio stations to nordicComfortPlayer? ,how-can-i-add-local-radio-stations-to-nordiccomfortplayer,63fdd72506354fc9c34bbb9b,649040f41b96db9abe2e2728,Mon Jun 19 2023 11:50:12 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:37:05 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">Follow these steps: </p><p id=""""> </p><ol start=""1"" id=""""><li>First you need to know the URL address of the radio station you would like to add. Note that the URL address needs to be exactly the streaming link, like ‘http://http-live.sr.se/p1-mp3-192’ in the example below. Otherwise, it won’t be played when you select it in nordicComfortPlayer. </li></ol><ol start=""2"" id=""""><li>Go to C:\Users\AppData\Local\ComfortPlayer and open ‘settigs.json’ file with Notepad. Scroll down and find the section where all the radio stations are located. The section starts with the syntax ""radio"". &nbsp;</li></ol><ol start=""3"" id=""""><li>Under this section you can add you desired radio station. Below is a syntax example that shows how the URL should be added. In front of ""title"", you can give a name to the new radio station, which will then appear in the media library of nordicComfortPlayer. </li></ol><p id=""""> &nbsp; &nbsp; &nbsp; &nbsp;{ </p><p id=""""> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;""title"": ""<strong id="""">Sverige Radio P1</strong>"", </p><p id=""""> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;""url"": ""<strong id="""">http://http-live.sr.se/p1-mp3-192</strong>"" </p><p id=""""> &nbsp; &nbsp; &nbsp; &nbsp;}, </p><ol start=""4"" id=""""><li>Save the changes and start nordicComfortPlayer. You should be able to see and play the new radio station. </li></ol><p id=""""> </p><p>‍</p>",nordiccomfortsolution,,true,
How can I change the image orientation on the LCD monitor?,how-can-i-change-the-image-orientation-on-the-lcd-monitor,63fdd72506354fc9c34bbb9b,6490404ae339265f3c18d42d,Mon Jun 19 2023 11:47:22 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:37:46 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">There are two ways to change the orientation of the image: </p><ul id=""""><li>If you have nordicComfortPlayer, open the app and select one of the icons on the top right according to whether the screen is at the patient’s head or feet, and whether you have a single or double mirror. </li><li>If you do not have the nordicComfortPlayer app, there are flip/rotate controls on the LCD as well. You can use the touch buttons on the front top left corner of the LCD to adjust the orientation (see the table below for the functionality of the touch buttons). Activate the on-screen menu and then navigate to and enter the ‘other’ submenu. Then enter the ‘Display rotation’ option and choose one of the four orientation options (normal, H, V, H/V). The selected setting is stored and will be retained after power cycling. </li></ul><p id=""""> </p><figure class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div><img alt=""A black rectangle in a rectangle frameDescription automatically generated with low confidence"" src=""https://uploads-ssl.webflow.com/617a905810208b1c7db8ee22/64903fe17ae068274b0e5d4c_11ad6f03.jpeg"" id="""" width=""auto"" height=""auto"" loading=""auto""></div><figcaption>Activate/Exit Menu</figcaption></figure><p id=""""> </p><figure class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div><img alt=""A black arrow pointing to the leftDescription automatically generated with medium confidence"" src=""https://uploads-ssl.webflow.com/617a905810208b1c7db8ee22/64903fe1e339265f3c18876a_f21c974c.jpeg"" id="""" width=""auto"" height=""auto"" loading=""auto""></div><figcaption>Enter submenu</figcaption></figure><p id=""""> </p><figure class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div><img alt=""A black triangle on a white backgroundDescription automatically generated"" src=""https://uploads-ssl.webflow.com/617a905810208b1c7db8ee22/64903fe1e339265f3c18877a_4f28223d.jpeg"" id="""" width=""auto"" height=""auto"" loading=""auto""></div><figcaption>Move up in menu</figcaption></figure><p id=""""> </p><figure class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div><img alt=""A black triangle on a white backgroundDescription automatically generated"" src=""https://uploads-ssl.webflow.com/617a905810208b1c7db8ee22/64903fe1014cc972f97141dd_ead42cd4.jpeg"" id="""" width=""auto"" height=""auto"" loading=""auto""></div><figcaption>Move down in menu</figcaption></figure><p id=""""> </p><p id=""""> </p><p>‍</p><p id="""">In both approaches, always check with patients if they can see everything in the correct orientation.</p><p>‍</p>",inroomviewingdevice,,true,
How can I make my paradigms available to others on the NNL forum?,how-can-i-make-my-paradigms-available-to-others-on-the-nnl-forum,63fdd72506354fc9c34bbb9b,6479ed4c3379d995514d6964,Fri Jun 02 2023 13:23:24 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:39:36 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">We would love for you to share your own paradigms on our forum and can help you link up with other interested users who may be working on similar experiments. Please zip your paradigm folder and<strong><em> </em></strong><a href=""https://nordicneurolab.circle.so/c/paradigms-nordicaktiva/"" id=""""><strong><em>upload it here</em></strong></a><strong><em>. </em></strong>We will then be in touch.</p>",nordicaktiva,,true,
How can I quickly switch to nordicAktiva when nordicComfortPlayer is running? ,how-can-i-quickly-switch-to-nordicaktiva-when-nordiccomfortplayer-is-running,63fdd72506354fc9c34bbb9b,6490410b377c4f25b1f4fa65,Mon Jun 19 2023 11:50:35 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:37:01 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">nordicComfortPlayer and nordicAktiva should not be open at the same time, as this may result in conflicts with the in-room display settings. </p><p id="""">‍</p>",nordiccomfortsolution,,true,
How can I send data from PACS to nordicBrainEx? ,how-can-i-send-data-from-pacs-to-nordicbrainex,63fdd72506354fc9c34bbb9b,64903c3d6ac2476aabedd4d9,Mon Jun 19 2023 11:30:05 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:39:15 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,<p>The nordicBrainEx workstation needs to be registered in your PACS system. The network information of the nordicBrainEx workstation can be found in nordicBrainEx under File/Database/Settings tab and then under the ‘Database’ section.</p>,nordicbrainex,,true,
How can I suggest a change to the nordicAktiva paradigm library?,how-can-i-suggest-a-change-to-the-nordicaktiva-paradigm-library,63fdd72506354fc9c34bbb9b,6479ed71ed6a8ec01b158ba0,Fri Jun 02 2023 13:24:01 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:39:31 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>Your feedback is very much appreciated! <br>Please get in touch via <a href=""mailto:applicationsupport@nordicneurolab.com"">applicationsupport@nordicneurolab.com</a> if you see that something is not quite as it should be or doesn’t meet your needs.</p>",nordicaktiva,,true,
How close can the LCD monitor be positioned to the MR-bore? ,how-close-can-the-lcd-monitor-be-positioned-to-the-mr-bore,63fdd72506354fc9c34bbb9b,6490406f68273cfaabfe0982,Mon Jun 19 2023 11:47:59 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:37:40 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>Bringing the LCD monitor closer to the bore than the legs of the stand allow will introduce a high potential risk of damaging the LCD. As a rule of thumb, 10 cm clearance is recommended between the wheels of the LCD stand and the end of the bore.</p>",inroomviewingdevice,,true,
How do I create a design file to feed into nordicBrainEx?,how-do-i-create-a-design-file-to-feed-into-nordicbrainex,63fdd72506354fc9c34bbb9b,6479ed9d295022221a64097b,Fri Jun 02 2023 13:24:45 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:39:23 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>Once the paradigm has completed, click ‘Save Results’. Then via the File menu, click on ‘Browse log and design files’. The design files will be marked as ‘.des’ with the date and time appended. These can be transferred to your nordicBrainEx workstation by USB drive or similar.</p>",nordicaktiva,,true,
How does nordicBrainEx do the Co-registration and motion correction?,how-does-nordicbrainex-do-the-co-registration-and-motion-correction,63fdd72506354fc9c34bbb9b,64903cb8943d12083b0ceca7,Mon Jun 19 2023 11:32:08 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:39:06 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>Motion correction and Co-registration in nordicBrainEx are based on rigid body transformation. &nbsp;Co-registration aligns the dynamic images with the structural image. Motion correction on the other hand, aligns all the dynamic image to the first volume within the dynamic series, and generates the translation and rotation parameters.</p>",nordicbrainex,,true,
How does the nordicComfortSolution improve the patient experience during MRI scans?,how-does-the-nordiccomfortsolution-improve-the-patient-experience-during-mri-scans,63fdd72506354fc9c34bbb9b,644a2982225ef88ab40d2393,Thu Apr 27 2023 07:51:30 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:41:28 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>The nordicComfortSolution is designed to help reduce anxiety and discomfort during MRI scans by providing patients with a distracting and enjoyable experience. By providing patients with entertainment options, the system can help them relax and remain still during the scanning process, which can lead to better imaging results.</p>",nordiccomfortsolution,nordicComfortSolution,false,
How does the nordicComfortSolution work?,how-does-the-nordiccomfortsolution-work,63fdd72506354fc9c34bbb9b,63fdd754e20c7572c375f7bc,Tue Feb 28 2023 10:28:36 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:41:40 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">The nordicComfortSolution is a hardware- and software-based system. You have the MR compatible LCD installed inside the MR room that displays the content and it is connected to a computer tablet that can be controlled from inside the Control Room. The radiographer can select the entertainment options from a user-friendly interface and the patient gets to enjoy them during the scan.</p><p id="""">‍</p>",nordiccomfortsolution,nordicComfortSolution,false,
How is leakage correction done in nordicBrainEx DSC?,how-is-leakage-correction-done-in-nordicbrainex-dsc,63fdd72506354fc9c34bbb9b,64903ed291b8fc37815e0a42,Mon Jun 19 2023 11:41:06 GMT+0000 (Coordinated Universal Time),Tue Jun 27 2023 12:39:46 GMT+0000 (Coordinated Universal Time),Tue Jun 27 2023 12:41:09 GMT+0000 (Coordinated Universal Time),,"<p id="""">Leakage correction is very important for DSC perfusion analysis, especially in relation to tumors. Tumors have leaky vasculature and so the contrast agent leaks into extravascular extracellular space and accumulates there. The leakage can lead to over- or underestimation of the cerebral blood volume (CBV), and therefore it is important to correct it. The leakage correction for DSC in nordicBrainEx is based on the residual function described in this article by<strong id=""""><em id=""""> </em></strong><a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3208149/"" id=""""><strong id=""""><em id="""">Bjørnerud et al. (2011)</em></strong></a><strong id=""""><em id="""">.</em></strong> In brief, the method uses the tail of the residual function to estimate the leakage, and unlike the commonly used Weiskoff method, it does not assume a constant mean transit time for all tissue types. More information can be found <a href=""http://downloads.nordicneurolab.com/SW/nBX/Tutorials/Tutorial%20-%20DSC.pdf"" id=""""><strong id=""""><em id="""">here</em></strong></a><strong id=""""><em id="""">.</em></strong></p><p id="""">‍</p>",nordicbrainex,,true,
How is normalization done in nordicBrainEx DSC?,how-is-normalization-done-in-nordicbrainex-dsc,63fdd72506354fc9c34bbb9b,64903f06e45565de58355617,Mon Jun 19 2023 11:41:58 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:38:53 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p id="""">When normalization is selected, nordicBrainEx normalizes CBV and CBF maps to the normal appearing white and grey matter. The software segments out tumor, blood vessels, and normal-appearing grey and white matter, before dividing the CBV and CBF by the average value within the normal-appearing grey and white matter. A VOI can therefore be drawn in a relevant area of pathology and the mean value may be taken without manually normalizing to a second VOI placed within normal tissue. It can be used to significantly speed up the reporting workflow. More information can be found <a href=""http://downloads.nordicneurolab.com/SW/nBX/Tutorials/Tutorial%20-%20DSC.pdf"" id=""""><strong><em>here</em></strong></a><strong><em>.</em></strong></p>",nordicbrainex,,true,
How is permeability calculated in nordicBrainEx DCE?,how-is-permeability-calculated-in-nordicbrainex-dce,63fdd72506354fc9c34bbb9b,64903f55e0d44acbfc4edbdc,Mon Jun 19 2023 11:43:17 GMT+0000 (Coordinated Universal Time),Tue Jun 27 2023 12:44:25 GMT+0000 (Coordinated Universal Time),Tue Jun 27 2023 12:44:28 GMT+0000 (Coordinated Universal Time),,"<p id="""">The DCE module uses a two-compartment exchange (TCx) pharmacokinetic model<strong id=""""><em id=""""> </em></strong><a href=""https://onlinelibrary.wiley.com/doi/10.1002/mrm.22005"" id=""""><strong id=""""><em id="""">(Sourbron S, 2009)</em></strong></a><strong id=""""><em id="""">.</em></strong> In brief, the model can be illustrated in the following way: </p><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div id=""""><img alt=""A picture containing text, clockDescription automatically generated"" src=""https://uploads-ssl.webflow.com/617a905810208b1c7db8ee22/64787770bf584c4b2b4c0a68_aada4ef4.jpeg"" id="""" width=""auto"" height=""auto"" loading=""auto""></div></figure><p id=""""> </p><p id="""">Where the contrast agent (C) enters the capillary volume due to tissue blood flow (F) and is initially distributed in the tissue plasma volume (Vp), but is gradually equilibrated to the extracellular, extravascular space with volume fraction of Ve, at a rate determined by rate constants Ktrans and kep. <br><br>More information can be found <a href=""http://downloads.nordicneurolab.com/SW/nBX/Tutorials/Tutorial%20-%20DCE.pdf""><strong><em>here.</em></strong></a><strong><em> </em></strong></p><p id="""">‍</p>",nordicbrainex,,true,
I don’t see the patient camera feed. What should I do? ,i-dont-see-the-patient-camera-feed-what-should-i-do,63fdd72506354fc9c34bbb9b,6490409f014cc972f97211bd,Mon Jun 19 2023 11:48:47 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:37:19 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>Go to nordicComfortPlayer’s settings (gear icon on the lower-left hand side), select the correct camera from the dropdown menu, and set it as default. The patient camera is usually labeled as ‘USB CAMERA’ in the dropdown menu list. When this is done, select the camera icon on the upper-left hand side. You should then be able to see the camera feed.</p>",nordiccomfortsolution,,true,
I had to stop my experiment before the scan was completed. Can I still save my results?,i-had-to-stop-my-experiment-before-the-scan-was-completed-can-i-still-save-my-results,63fdd72506354fc9c34bbb9b,6479eac75c8a5811f95a82e7,Fri Jun 02 2023 13:12:39 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 11:40:17 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 11:14:04 GMT+0000 (Coordinated Universal Time),,"<p>Yes! If you need to stop nordicAktiva manually, you can still manually proceed to the final screen using the forward arrow, where you can then ‘Save results’ as normal.</p>",nordicaktiva,,true,
